left_record_uid,right_record_uid,left_source,right_source,left_name,right_name,left_status,right_status,distance_m,name_score,match_rule,is_grouped_match
FracTracker:frac_row_1247,PNNL:building_00299927846,FracTracker,PNNL,QTS Lockridge ASH2 Quality Tech Lane DC2,Amazon IAD76,Operating,Operating/inferred,580.613,0.0,candidate_only_code_conflict,False
FracTracker:frac_row_1250,PNNL:building_00701930921,FracTracker,PNNL,"STERLING VI, V",Amazon IAD99,Operating,Operating/inferred,580.739,0.0,candidate_only_code_conflict,False
NAICS:naics_433,PNNL:building_01177893426,NAICS,PNNL,"AMAZON DATA SERVICES, INC. IAD-144  IAD-145",Amazon IAD603,Operating/inferred,Operating/inferred,580.794,0.333,candidate_only_code_conflict,False
FracTracker:frac_row_1187,PNNL:building_00299929061,FracTracker,PNNL,Aligned: IAD03,Amazon IAD12,Operating,Operating/inferred,581.345,0.0,candidate_only_code_conflict,False
FracTracker:frac_row_1108,PNNL:building_01287260559,FracTracker,PNNL,Wellington Road PRA,,Proposed,Operating/inferred,581.427,0.0,candidate_only,False
NAICS:naics_167,PNNL:building_01088241977,NAICS,PNNL,"INTERGATE - ASHBURN, LLC",Aligned IAD02,Operating/inferred,Operating/inferred,581.436,0.0,candidate_only_low_specificity,False
NAICS:naics_167,PNNL:building_00696978351,NAICS,PNNL,"INTERGATE - ASHBURN, LLC",,Operating/inferred,Operating/inferred,582.173,0.0,candidate_only_low_specificity,False
FracTracker:frac_row_855,PNNL:building_00463571876,FracTracker,PNNL,Ashburn Data Center,Amazon IAD79,Proposed,Operating/inferred,582.186,0.0,candidate_only,False
NAICS:naics_462,PNNL:building_00844394339,NAICS,PNNL,RAVEN NORTHBROOK LLC,Meta Sarpy Data center,Operating/inferred,Operating/inferred,582.186,0.0,candidate_only_low_specificity,False
FracTracker:frac_row_1202,PNNL:building_00697020849,FracTracker,PNNL,DCT DULLES DOWNS Land Bay B,Amazon IAD58,Operating,Operating/inferred,582.347,0.0,candidate_only,False
