site_group_id,canonical_name,sources,source_count,member_count,primary_source,primary_source_layer,primary_record_uid,status_summary,is_currently_built,has_pipeline_status,state,county,city,latitude,longitude,coordinate_valid,geometry_type,operator_summary,name_aliases,facility_size_sqft,campus_area_sqft,mw_summary,reference_confidence,match_notes
site_02376,,PNNL,1,1,PNNL,building,PNNL:building_01157356188,Operating/inferred,True,False,WI,Dunn County,,44.87716526998907,-91.91999887343924,True,Polygon,West Wisconsin Telcom,,3368.0,,,single_source_geometry,
site_02377,Microsoft EAT03,PNNL,1,1,PNNL,building,PNNL:building_01173537116,Operating/inferred,True,False,WA,Douglas County,,47.41832392189266,-120.20770997491815,True,Polygon,Microsoft,Microsoft EAT03,235418.0,,,single_source_geometry,
site_02378,Microsoft EAT04,PNNL,1,1,PNNL,building,PNNL:building_01173537117,Operating/inferred,True,False,WA,Douglas County,,47.419636588714944,-120.21382073657306,True,Polygon,Microsoft,Microsoft EAT04,234834.0,,,single_source_geometry,
site_02379,EAT13,PNNL,1,1,PNNL,building,PNNL:building_01173822722,Operating/inferred,True,False,WA,Chelan County,,47.35842571835008,-120.15997586326914,True,Polygon,,EAT13,232237.0,,,single_source_geometry,
site_02380,EAT12,PNNL,1,1,PNNL,building,PNNL:building_01173822723,Operating/inferred,True,False,WA,Chelan County,,47.3574330116489,-120.15954624801125,True,Polygon,,EAT12,248918.0,,,single_source_geometry,
site_02381,,PNNL,1,1,PNNL,building,PNNL:building_01177794153,Operating/inferred,True,False,TX,Dallas County,,32.89476229626733,-96.98194594256125,True,Polygon,,,141788.0,,,single_source_geometry,
site_02382,,PNNL,1,1,PNNL,building,PNNL:building_01177975782,Operating/inferred,True,False,WY,Laramie County,,41.125398685682946,-104.9075161092094,True,Polygon,,,29178.0,,,single_source_geometry,
site_02383,,PNNL,1,1,PNNL,building,PNNL:building_01177975783,Operating/inferred,True,False,WY,Laramie County,,41.12645973663428,-104.89953749554007,True,Polygon,,,33657.0,,,single_source_geometry,
site_02384,,PNNL,1,1,PNNL,building,PNNL:building_01177975784,Operating/inferred,True,False,WY,Laramie County,,41.12541097703015,-104.90197773507904,True,Polygon,,,51590.0,,,single_source_geometry,
site_02385,,PNNL,1,1,PNNL,building,PNNL:building_01177975788,Operating/inferred,True,False,WY,Laramie County,,41.12226600580698,-104.90814229902796,True,Polygon,,,218419.0,,,single_source_geometry,
site_02386,,PNNL,1,1,PNNL,building,PNNL:building_01177975789,Operating/inferred,True,False,WY,Laramie County,,41.12224618145857,-104.90951695028599,True,Polygon,,,216879.0,,,single_source_geometry,
site_02387,,PNNL,1,1,PNNL,building,PNNL:building_01188691867,Operating/inferred,True,False,VA,Loudoun County,,39.01710249054327,-77.47326655981455,True,Polygon,,,91264.0,,,single_source_geometry,
site_02388,Meta,PNNL,1,1,PNNL,building,PNNL:building_01191496040,Operating/inferred,True,False,NM,Valencia County,,34.825839640241206,-106.77888911307576,True,Polygon,Meta,Meta,588490.0,,,single_source_geometry,
site_02389,,PNNL,1,1,PNNL,building,PNNL:building_01193914601,Operating/inferred,True,False,WA,Grant County,,47.24481075189648,-119.81798352548935,True,Polygon,,,280235.0,,,single_source_geometry,
site_02390,,PNNL,1,1,PNNL,building,PNNL:building_01193914602,Operating/inferred,True,False,WA,Grant County,,47.24427568966153,-119.81481251567007,True,Polygon,,,147278.0,,,single_source_geometry,
site_02391,Lightedge Des Moines 2,PNNL,1,1,PNNL,building,PNNL:building_01202051225,Operating/inferred,True,False,IA,Polk County,,41.66679862807146,-93.45595524492184,True,Polygon,,Lightedge Des Moines 2,56626.0,,,single_source_geometry,
site_02392,,PNNL,1,1,PNNL,building,PNNL:building_01210199365,Operating/inferred,True,False,NV,Washoe County,,39.56971060147777,-119.5378594125417,True,Polygon,,,89816.0,,,single_source_geometry,
site_02393,,PNNL,1,1,PNNL,building,PNNL:building_01210199366,Operating/inferred,True,False,NV,Washoe County,,39.570052601477805,-119.53709171254167,True,Polygon,,,89816.0,,,single_source_geometry,
site_02394,,PNNL,1,1,PNNL,building,PNNL:building_01210199367,Operating/inferred,True,False,NV,Washoe County,,39.57059170801203,-119.53603404605106,True,Polygon,,,89821.0,,,single_source_geometry,
site_02395,,PNNL,1,1,PNNL,building,PNNL:building_01210199368,Operating/inferred,True,False,NV,Washoe County,,39.57098620148502,-119.5353175625486,True,Polygon,,,89824.0,,,single_source_geometry,
site_02396,Carrier Services Group,PNNL,1,1,PNNL,building,PNNL:building_01210421871,Operating/inferred,True,False,OH,Mahoning County,,41.04105972873746,-80.63309049266806,True,Polygon,,Carrier Services Group,75379.0,,,single_source_geometry,
site_02397,Flexential Nashville - Cool Springs,PNNL,1,1,PNNL,building,PNNL:building_01210515186,Operating/inferred,True,False,TN,Williamson County,,35.9510406627101,-86.83338099610178,True,Polygon,Flexential,Flexential Nashville - Cool Springs,69261.0,,,single_source_geometry,
site_02398,,PNNL,1,1,PNNL,building,PNNL:building_01211362828,Operating/inferred,True,False,WI,Columbia County,,43.63833310938071,-89.72140293849328,True,Polygon,,,361.0,,,single_source_geometry,
site_02399,,PNNL,1,1,PNNL,building,PNNL:building_01219083552,Operating/inferred,True,False,IL,Cook County,,42.02314332706365,-87.97218622171744,True,Polygon,,,110471.0,,,single_source_geometry,
site_02400,Cortex supercomputer,PNNL,1,1,PNNL,building,PNNL:building_01221574918,Operating/inferred,True,False,TX,Travis County,,30.21539943501369,-97.61896045736678,True,Polygon,,Cortex supercomputer,427833.0,,,single_source_geometry,
site_02401,AWS IAD106,PNNL,1,1,PNNL,building,PNNL:building_01221862807,Operating/inferred,True,False,VA,Prince William County,,38.74697497598997,-77.51852812758843,True,Polygon,Amazon Web Services,AWS IAD106,205206.0,,,single_source_geometry,
site_02402,,PNNL,1,1,PNNL,building,PNNL:building_01226436454,Operating/inferred,True,False,IA,Pottawattamie County,,41.21209899075678,-95.87791366422857,True,Polygon,,,117949.0,,,single_source_geometry,
site_02403,Novartis,PNNL,1,1,PNNL,building,PNNL:building_01227550179,Operating/inferred,True,False,TX,Tarrant County,,32.65123418104135,-97.31970940523344,True,Polygon,,Novartis,42691.0,,,single_source_geometry,
site_02404,Equinix SV11,PNNL,1,1,PNNL,building,PNNL:building_01227604493,Operating/inferred,True,False,CA,Santa Clara County,,37.24260507449007,-121.7839986384854,True,Polygon,Equinix,Equinix SV11,76977.0,,,single_source_geometry,
site_02405,CyrusOne PHX8,PNNL,1,1,PNNL,building,PNNL:building_01227682824,Operating/inferred,True,False,AZ,Maricopa County,,33.26634359950168,-111.88328970114857,True,Polygon,,CyrusOne PHX8,138766.0,,,single_source_geometry,
site_02406,CyrusOne PHX3,PNNL,1,1,PNNL,building,PNNL:building_01227684019,Operating/inferred,True,False,AZ,Maricopa County,,33.271968058402116,-111.88162712790563,True,Polygon,,CyrusOne PHX3,107618.0,,,single_source_geometry,
site_02407,CyrusOne PHX4,PNNL,1,1,PNNL,building,PNNL:building_01227684020,Operating/inferred,True,False,AZ,Maricopa County,,33.27193710235771,-111.88328211364427,True,Polygon,,CyrusOne PHX4,108957.0,,,single_source_geometry,
site_02408,Vantage VA13,PNNL,1,1,PNNL,building,PNNL:building_01227777116,Operating/inferred,True,False,VA,Loudoun County,,39.00310829243192,-77.43985079751437,True,Polygon,Vantage Data Centers,Vantage VA13,261859.0,,,single_source_geometry,
site_02409,Lightedge Des Moines 1,PNNL,1,1,PNNL,building,PNNL:building_01227883682,Operating/inferred,True,False,IA,Polk County,,41.66765686470181,-93.45548176472273,True,Polygon,,Lightedge Des Moines 1,30078.0,,,single_source_geometry,
site_02410,,PNNL,1,1,PNNL,building,PNNL:building_01235255415,Operating/inferred,True,False,NM,Doña Ana County,,32.30965547587507,-106.72917107190823,True,Polygon,CenturyLink,,31837.0,,,single_source_geometry,
site_02411,Verizon North Las Vegas,PNNL,1,1,PNNL,building,PNNL:building_01235846520,Operating/inferred,True,False,NV,Clark County,,36.22189342504773,-115.14705545021235,True,Polygon,Verizon,Verizon North Las Vegas,25096.0,,,single_source_geometry,
site_02412,Google,PNNL,1,1,PNNL,building,PNNL:building_01237493975,Operating/inferred,True,False,NE,Sarpy County,,41.13491995864724,-96.1440729015135,True,Polygon,Google,Google,292941.0,,,single_source_geometry,
site_02413,Google,PNNL,1,1,PNNL,building,PNNL:building_01237494981,Operating/inferred,True,False,NE,Sarpy County,,41.13439327581521,-96.15590606506956,True,Polygon,Google,Google,297438.0,,,single_source_geometry,
site_02414,Involta Independence,PNNL,1,1,PNNL,building,PNNL:building_01238705019,Operating/inferred,True,False,OH,Cuyahoga County,,41.36106237331226,-81.63280479310477,True,Polygon,,Involta Independence,26393.0,,,single_source_geometry,
site_02415,Amazon Web Services,PNNL,1,1,PNNL,building,PNNL:building_01252196805,Operating/inferred,True,False,OH,Union County,,40.11625887855608,-83.20139113655297,True,Polygon,Amazon Web Services,Amazon Web Services,218032.0,,,single_source_geometry,
site_02416,,PNNL,1,1,PNNL,building,PNNL:building_01252196806,Operating/inferred,True,False,OH,Union County,,40.11739966334843,-83.20208181892225,True,Polygon,Amazon Web Services,,213349.0,,,single_source_geometry,
site_02417,Amazon Web Services,PNNL,1,1,PNNL,building,PNNL:building_01252196807,Operating/inferred,True,False,OH,Union County,,40.11904802129847,-83.20025962657277,True,Polygon,Amazon Web Services,Amazon Web Services,13652.0,,,single_source_geometry,
site_02418,Amazon Web Services,PNNL,1,1,PNNL,building,PNNL:building_01252196808,Operating/inferred,True,False,OH,Franklin County,,40.04935754088761,-83.17546025829033,True,Polygon,Amazon Web Services,Amazon Web Services,220580.0,,,single_source_geometry,
site_02419,,PNNL,1,1,PNNL,building,PNNL:building_01252196809,Operating/inferred,True,False,OH,Franklin County,,40.04813089818562,-83.17528384542761,True,Polygon,Amazon Web Services,,217845.0,,,single_source_geometry,
site_02420,Amazon Web Services,PNNL,1,1,PNNL,building,PNNL:building_01252196810,Operating/inferred,True,False,OH,Franklin County,,40.04790974075581,-83.17754692245403,True,Polygon,Amazon Web Services,Amazon Web Services,14456.0,,,single_source_geometry,
site_02421,Amazon Web Services,PNNL,1,1,PNNL,building,PNNL:building_01252196816,Operating/inferred,True,False,OR,Morrow County,,45.85874996159125,-119.60509631980196,True,Polygon,Amazon Web Services,Amazon Web Services,210570.0,,,single_source_geometry,
site_02422,Amazon Web Services,PNNL,1,1,PNNL,building,PNNL:building_01252196817,Operating/inferred,True,False,OR,Morrow County,,45.86008348238562,-119.60513360298897,True,Polygon,Amazon Web Services,Amazon Web Services,211904.0,,,single_source_geometry,
site_02423,Amazon Web Services,PNNL,1,1,PNNL,building,PNNL:building_01252196818,Operating/inferred,True,False,OR,Morrow County,,45.8609694312574,-119.6051531215301,True,Polygon,Amazon Web Services,Amazon Web Services,216528.0,,,single_source_geometry,
site_02424,Amazon Web Services,PNNL,1,1,PNNL,building,PNNL:building_01252196819,Operating/inferred,True,False,OR,Morrow County,,45.841481031506696,-119.6517767921927,True,Polygon,Amazon Web Services,Amazon Web Services,13765.0,,,single_source_geometry,
site_02425,Amazon Web Services,PNNL,1,1,PNNL,building,PNNL:building_01252196820,Operating/inferred,True,False,OR,Umatilla County,,45.9206369354048,-119.23183081247244,True,Polygon,Amazon Web Services,Amazon Web Services,216430.0,,,single_source_geometry,
site_02426,Amazon Web Services,PNNL,1,1,PNNL,building,PNNL:building_01252196821,Operating/inferred,True,False,OR,Umatilla County,,45.92064708433544,-119.22998114838396,True,Polygon,Amazon Web Services,Amazon Web Services,211240.0,,,single_source_geometry,
site_02427,Amazon Web Services,PNNL,1,1,PNNL,building,PNNL:building_01252196822,Operating/inferred,True,False,OR,Umatilla County,,45.79777489027666,-119.361958718014,True,Polygon,Amazon Web Services,Amazon Web Services,216777.0,,,single_source_geometry,
site_02428,Amazon Web Services,PNNL,1,1,PNNL,building,PNNL:building_01252196823,Operating/inferred,True,False,OR,Umatilla County,,45.799165042059165,-119.3666580013381,True,Polygon,Amazon Web Services,Amazon Web Services,216903.0,,,single_source_geometry,
site_02429,Amazon Web Services,PNNL,1,1,PNNL,building,PNNL:building_01253282099,Operating/inferred,True,False,VA,Loudoun County,,38.99509407061763,-77.47107161222901,True,Polygon,Amazon Web Services,Amazon Web Services,14683.0,,,single_source_geometry,
site_02430,Meta Sarpy Data center,PNNL,1,1,PNNL,building,PNNL:building_01253282100,Operating/inferred,True,False,NE,Sarpy County,,41.123572980157554,-96.13289444072417,True,Polygon,Meta,Meta Sarpy Data center,628560.0,,,single_source_geometry,
site_02431,Meta,PNNL,1,1,PNNL,building,PNNL:building_01253282103,Operating/inferred,True,False,IA,Polk County,,41.67557150002093,-93.50965654880697,True,Polygon,Meta,Meta,493366.0,,,single_source_geometry,
